ntfs-3g 2017.3.23-5
obsidian-appimage 0.11.13-1
onlykey 5.3.1-1
openntpd 6.8p1-1
openssh 8.6p1-1
orca 40.0-1
os-prober 1.78-0.1
otf-font-awesome 5.15.3-1
pacman 5.2.2-6
pamixer 1.4-5
pantheon-files 4.5.0-2
pantheon-photos 2.7.0-5
patch 2.7.6-8
pavucontrol 1:4.0-2
pcbdraw 0.6.1-1
pciutils 3.7.0-1
peek 1.5.1-3
perl 5.34.0-1
pgadmin4 4.30-1
phonon-qt5-gstreamer 4.10.0-2
pipewire 1:0.3.28-1
pipewire-alsa 1:0.3.28-1
pkgconf 1.7.3-1
plank 0.11.89-3
plasma-meta 5.21-2
plasma5-applets-redshift-control-git 1:r44.b3b035c-1
playerctl 2.3.1-1
postgresql 13.3-2
postgresql-old-upgrade 12.7-2
powerline-fonts-git r202.e80e3eb-1
preload 0.6.4-1
procps-ng 3.3.17-1
psmisc 23.4-1
pulseaudio 14.2-3
pulseaudio-bluetooth 14.2-3
python-pip 20.3.1-1
python2 2.7.18-3
rclone 1.55.1-1
redshift 1.12-4
reiserfsprogs 3.6.27-3
ripgrep 12.1.1-1
rofi 1.6.1-1
rpi-imager 1.6.2-1
rsync 3.2.3-3
ruby 3.0.1-1
rygel 1:0.40.1-1
s-nail 14.9.22-1
scrot 1.5-1
sed 4.8-1
shadow 4.8.1-4
silentcast 3.07-1
simple-scan 40.1-1
simplescreenrecorder 0.4.3-1
slack-desktop 4.15.0-1
slurp 1.3.2-1
spectacle 21.04.1-1
spectre-meltdown-checker 0.44-1
spicetify-cli 1.2.1-1
spicetify-themes-git r651.c31dfe7-1
spotify 1:1.1.56.595-1
sublime-merge 2047-1
sublime-text-4-dev 4.4103-1
sudo 1.9.7-1
sushi 3.38.0-1
sway 1:1.6-1
sway-alttab-bin 1.1.3-1
sway-launcher-desktop 1.4.0-1
swaybg 1.0-4
swayidle 1.6-1
swaylock 1.5-1
sysfsutils 2.1.1-1
systemd-fsck-silent 239-1
systemd-sysvcompat 248.3-2
tad-bin 0.9.0-1
tar 1.34-1
telegram-desktop 2.7.4-2
terminus-font 4.49.1-2
texinfo 6.7-3
tlp 1.3.1-2
tmux 3.2-1
totem 3.38.0-1
tracker 2.3.6+7+gb27396252-2
tracker-miners 2.3.5+2+gec09554af-2
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-vlgothic 20200720-1
un-apple-keyboard 1.0-1
usbutils 013-1
util-linux 2.36.2-1
vi 1:070224-5
via-bin 1.3.1-1
vim 8.2.2891-1
vino 3.22.0+72+g3fe1f12-1
vorta 0.7.5-1
vulkan-intel 21.1.1-1
vulkan-radeon 21.1.1-1
watchman 4.9.0-6
wf-recorder 0.2.1-1
wget 1.21.1-1
which 2.21-5
wl-clipboard 1:2.0.0-2
wob 0.11-1
wofi 1.2.4-1
wpa_supplicant 2:2.9-8
xbindkeys 1.8.7-2
xclip 0.13-3
xdg-desktop-portal 1.8.1-1
xdg-desktop-portal-wlr-git v0.2.0.r16.g9ba958c-1
xdg-user-dirs-gtk 0.10+9+g5b7efc6-3
xf86-video-amdgpu 19.1.0-2
xf86-video-ati 1:19.1.0-2
xf86-video-intel 1:2.99.917+916+g31486f40-1
xf86-video-nouveau 1.0.17-1
xfsprogs 5.11.0-2
xorg-xinit 1.4.1-3
xorg-xwayland 21.1.1-1
yay 10.2.2-1
yelp 40.0-1
youtube-dl 2021.05.16-1
zsh 5.8-1
